Ortsname                          Breite    Laenge
Blankensee                        52n14     13e8
Blankenstein                      51n24     7e14
Blasheim                          52n18     8e34
Blatzheim                         50n51     6e38
Blaubeuren                        48n24     9e47
Blaufelden                        49n18     9e58
Bleckede                          53n17     10e44
Bleibach                          48n7      8e1
Bleicherode                       51n26     10e34
Bleidenstadt                      50n8      8e8
Blekendorf                        54n16     10e38
Blexen                            53n32     8e32
Bliersheim                        51n23     6e43
Blieskastel                       49n14     7e16
Blomberg                          51n56     9e5
Blumberg bei Berlin               52n36     13e37
Blumberg im Schwarzwald           47n50     8e31
Bobbau                            51n41     12e16
Bobingen                          48n16     10e50
Bobitz                            53n47     11e20
Bobolice                          53n57     16e36
Bocholt                           51n50     6e36
Bochum                            51n28     7e13
Bockel                            53n12     9e17
Bockenem                          52n0      10e7
Bockhorn                          53n23     8e1
Bockum                            51n20     6e44
Bockum-Hoevel                     51n42     7e46
Boczow                            52n19     14e58
Bodenburg                         52n1      10e1
Bodenfelde                        51n38     9e33
Bodenheim                         49n56     8e18
Bodenmais                         49n4      13e6
Bodenteich                        52n50     10e41
Bodenwerder                       51n59     9e31
Bodenwoehr                        49n16     12e19
Bodstedt                          54n22     12e37
Boebingen                         48n49     9e54
Boeblingen                        48n41     9e1
Boehlen                           51n12     12e23
Boehmenkirch                      48n41     9e55
Boeklund                          54n36     9e34
Boelkenbusch                      51n21     7e6
Boemenzien                        52n59     11e31
Boenen                            51n36     7e44
Boenninghardt                     51n35     6e28
Boerger                           52n54     7e32
Boernicke bei Berlin              52n40     13e38
Boernicke bei Nauen               52n41     12e56
Boerry                            52n1      9e27
Boerssum                          52n4      10e35
Boesel                            53n0      7e58
Boesingen                         48n14     8e34
Boesperde                         51n28     7e46
Boetzingen                        48n4      7e44
Boetzow                           52n39     13e8
Boffzen                           51n45     9e23
Bogatynia                         50n53     15e0
Bogel                             50n11     7e48
Bogen                             48n55     12e43
Boges                             50n11     7e48
Bohmte                            52n22     8e19
Bohsdorf                          51n38     14e32
Boitzenburg                       53n15     13e37
Boizenburg                        53n22     10e43
Bojadla                           51n57     15e50
Bokel                             53n23     8e46
Bol'sakovo                        54n53     21e40
Boldekow                          53n43     13e35
Boleslawiec                       51n16     15e34
Boleszkowice                      52n44     14e36
Boll                              48n38     9e37
Bollendorf                        49n51     6e22
Bollensdorf                       52n31     13e43
Bollwerk                          51n10     7e35
Bomlitz                           52n54     9e37
Bommerholz                        51n23     7e18
Bondorf                           48n31     8e49
Bonn                              50n44     7e5
Bonndorf im Schwarzwald           47n49     8e20
Boock                             53n29     14e15
Boossen                           52n22     14e29
Bopfingen                         48n51     10e21
Boppard                           50n14     7e35
Borchen                           51n39     8e44
Bordesholm                        54n11     10e1
Borgentreich                      51n34     9e14
Borghorst                         52n7      7e23
Borgsdorf                         52n42     13e14
Borken bei Kassel                 51n3      9e16
Borken in Westfalen               51n51     6e51
Borkenwirthe                      51n53     6e50
Borkum                            53n35     6e40
Born an der Ostsee DDR            54n23     12e31
Born in Sachsen                   52n22     11e28
Borna bei Leipzig                 51n7      12e30
Borna bei Riesa                   51n19     13e11
Bornheim                          50n46     6e59
Bornhoeved                        54n4      10e16
Bornholte                         51n52     8e29
Bornsdorf                         51n46     13e41
Borschemich                       51n4      6e25
Borsdorf                          51n21     12e32
Borstel                           53n32     9e41
Borstendorf                       50n46     13e10
Borth                             51n36     6e33
Borzyszkowy                       54n3      17e22
Bosau                             54n6      10e25
Bossdorf                          51n59     12e40
Bottrop                           51n31     6e55
Bovenden                          51n35     9e55
Boxberg                           49n29     9e38
Boyadel                           51n57     15e50
Brackenheim                       49n5      9e3
Braderup                          54n50     8e53
Braeunlingen                      47n55     8e26
Brake an der Weser                53n19     8e28
Brake bei Bielefeld               52n4      8e35
Brake bei Lemgo                   52n1      8e55
Brakel                            51n43     9e10
Bramey-Lenningsen                 51n34     7e46
Bramsche                          52n24     7e58
Bramstedt                         53n22     8e41
Brand                             50n43     6e9
Brand-Erbisdorf                   50n52     13e19
Brandenburg                       52n24     12e32
Brandis bei Leipzig               51n20     12e36
Brandis in Brandenburg            51n48     13e10
Braniewo                          54n24     19e50
Brannenburg                       47n44     12e5
Brassert                          51n40     7e5
Braubach                          50n16     7e40
Braunfels                         50n31     8e23
Braunlage                         51n44     10e37
Braunsbedra                       51n15     11e49
Braunsberg                        54n24     19e50
Braunschweig                      52n16     10e31
Breckerfeld                       51n16     7e28
Breddin                           52n52     12e13
Bredenbeck                        52n15     9e37
Bredenbruch                       51n21     7e45
Bredenscheid-Stueter              51n22     7e11
Bredereiche                       53n8      13e14
Bredstedt                         54n37     8e59
Brehna                            51n33     12e12
Breidenstein                      50n55     8e28
Breisach                          48n1      7e40
Breitbrunn                        48n2      11e8
Breitenbrunn                      50n29     12e46
Breitenfelde                      53n36     10e38
Breitenguessbach                  49n58     10e53
Breitenstein                      51n37     10e56
Breitenworbis                     51n24     10e25
Breitscheid bei Duisburg          51n22     6e52
Breitscheid bei Muehlheim an der R51n22     6e52
Breitscheid im Westerwald         50n41     8e11
Breitungen                        50n45     10e20
Breloh                            53n1      10e4
Bremelau                          48n20     9e32
Bremen                            53n4      8e49
Bremerhaven                       53n33     8e34
Bremervoerde                      53n29     9e8
Bremke bei Rinteln                52n7      9e6
Bremke im Sauerland               51n15     8e12
Brendlorenzen                     50n20     10e13
Brenz                             48n33     10e17
Bresewitz                         54n24     12e40
Breslau                           51n6      17e0
Bretnig                           51n8      14e4
Bretten                           49n2      8e42
Bricht                            51n41     6e51
Brieg                             50n52     17e27
Briese                            52n42     13e18
Brieselang                        52n35     13e0
Briesen                           52n20     14e16
Brieske                           51n29     13e57
Brieskow-Finkenheerd              52n16     14e35
Briest                            52n31     12e8
Brilon                            51n24     8e34
Brinkum                           53n0      8e47
Britz                             52n53     13e49
Brochterbeck                      52n13     7e44
Brockenscheidt                    51n38     7e25
Brockhagen                        51n59     8e20
Brodenbach                        50n14     7e26
Brody                             51n45     14e45
Broichweiden                      50n49     6e9
Broitzem                          52n14     10e29
Brokdorf                          53n52     9e19
Brome                             52n36     10e56
Bronkow                           51n40     13e55
Bronn                             49n44     11e28
Bronnzell                         50n31     9e41
Brotterode                        50n49     10e26
Bruchhausen                       51n26     8e1
Bruchhausen-Vilsen                52n50     9e0
Bruchmuehle                       52n33     13e47
Bruchsaal                         49n7      8e35
Bruck in der Oberpfalz            49n15     12e18
Bruckmuehl                        47n53     11e54
Brueck                            52n12     12e46
Brueckenau                        50n18     9e47
Brueel                            53n44     11e43
Bruegge                           51n13     7e34
Brueggen                          51n14     6e11
Bruehl                            50n48     6e54
Bruenen                           51n43     6e39
Brueninghausen                    51n13     7e41
Bruenn                            50n27     10e51
Bruessow                          53n24     14e7
Brunau                            52n45     11e28
Brunn                             53n40     13e22
Brunnen                           48n38     11e18
Brunow                            52n44     13e52
Brunsbuettel                      53n54     9e7
